x,y
76,75.30033002
13,9.577368568
51,48.38088357
70,72.95331671
98,92.59573853
86,88.85523586
100,99.00361771
46,45.09439571
51,46.94362684
50,48.33449605
91,94.92329574
48,47.78165248
81,81.28960746
38,37.83155021
40,39.69185252
79,76.92664854
96,88.02990531
60,56.99178872
70,72.58929383
44,44.98103442
11,11.99017641
6,1.919513328
5,1.628826073
72,66.27746655
55,57.53887255
95,94.70291077
41,41.21469904
25,25.04169243
1,3.778209914
55,50.50711779
4,9.682408486
48,48.88147608
55,54.40348599
75,71.70233156
68,69.35848388
100,99.98491591
25,26.03323718
75,75.48910307
34,36.59623056
38,40.95102191
92,86.78316267
21,15.50701184
88,85.86077871
75,79.20610113
76,80.80643766
44,48.59717283
10,13.93415049
21,27.3051179
16,14.00226297
32,33.67416
13,13.11612884
26,24.76649193
70,73.68477876
77,77.53149541
77,76.24503196
88,88.0578931
35,35.02445799
24,21.65857739
17,17.33681562
91,94.36778957
32,33.43396307
36,32.52179399
89,90.57741298
69,71.25634126
30,31.23212856
6,5.398840061
22,18.56241391
67,71.97121038
9,5.225759566
74,73.5964342
50,49.76948983
85,82.69087513
3,1.652309089
0,-3.836652144
59,62.03811556
62,61.26514581
17,13.24991628
90,88.61672694
23,21.13655528
19,23.85017475
93,92.01203405
14,10.26712261
58,54.14681616
87,87.00645713
37,37.69447352
20,19.62278654
35,34.78561007
63,62.03190983
56,52.67003801
62,58.09031476
98,97.19448821
90,90.50155298
51,50.5123462
93,94.45211871
22,21.10794636
38,37.36298431
13,10.28574844
98,96.04932416
99,100.0953697
31,30.6063167
94,96.19000542
73,71.30828034
37,34.59311043
23,19.02332876
11,10.76669688
88,90.5799868
47,48.71787679
79,78.74139764
91,85.23492274
71,71.65789964
10,8.938990554
39,39.89606046
92,91.85091116
99,99.11200375
28,26.22196486
32,33.21584226
32,35.72392691
75,76.88604495
99,99.30874567
27,25.77161074
64,67.85169407
98,98.50371084
38,31.11331895
46,45.51171028
13,12.65537808
96,95.56065366
9,9.526431641
34,36.10893209
49,46.43628318
1,-3.83998112
50,48.97302037
94,93.25305499
27,23.47650968
20,17.13551132
12,14.55896144
45,41.53992729
91,91.64730552
61,66.16652565
10,9.230857489
47,47.41377893
33,34.76441561
84,86.10796637
24,21.81267954
48,48.89963951
48,46.78108638
9,12.91328547
93,94.55203143
99,94.97068753
8,2.379172481
20,21.47982988
38,35.79795462
78,82.0763803
81,78.87097714
42,47.2492425
95,96.18852325
78,78.38491927
44,42.94274064
68,64.43231595
87,84.21191485
58,57.3069783
52,52.52101436
26,25.7440243
75,75.42283401
48,53.62523007
71,75.14466308
77,74.12151511
34,36.24807243
24,20.21665898
70,66.94758118
29,34.07278254
76,73.13850045
98,92.85929155
28,28.36793808
87,85.59308727
9,10.68453755
87,86.10708624
33,33.22031418
64,66.09563422
17,19.30486546
49,48.84542083
95,93.73176312
75,75.45758614
89,91.24239226
81,87.15690853
25,25.53752833
47,46.06629478
50,49.65277661
5,7.382244165
68,71.11189935
84,83.50570521
8,8.791139893
41,33.30638903
26,26.40362524
89,91.72960726
78,82.53030719
34,36.67762733
92,86.98450355
27,32.34784175
12,16.78353974
2,1.576584383
22,17.4618141
0,2.116113029
26,24.34804332
50,48.29491198
84,85.52145453
70,73.71434779
66,63.15189497
42,38.46213684
19,19.47100788
94,94.07428225
71,67.92051286
19,22.58096241
16,16.01629889
49,48.43307886
29,29.6673599
29,26.65566328
86,86.28206739
50,50.82304924
86,88.57251713
30,32.59980745
23,21.02469368
20,20.72894979
16,20.38051187
57,57.25180153
8,6.967537054
8,10.240085
62,64.94841088
55,55.35893915
30,31.24365589
86,90.72048818
62,58.750127
51,55.85003198
61,60.19925869
86,85.03295412
61,60.38823085
21,18.44679787
81,82.18839247
97,94.2963344
5,7.682024586
61,61.01858089
47,53.60562216
98,94.47728801
30,27.9645947
63,62.55662585
0,1.406254414
100,101.7003412
18,13.84973988
30,28.99769315
98,99.04315693
16,15.56135514
22,24.63528393
55,53.98393374
43,42.91449728
75,74.29662112
91,91.17012883
46,49.42440876
85,82.47683519
55,56.15303953
36,37.17063131
49,46.36928662
94,97.02383456
43,40.83182104
22,24.08498313
37,41.14386358
24,21.97388066
95,100.740897
61,61.19971596
75,74.39517002
68,69.04377173
58,56.68718792
5,5.860391715
53,55.72021356
80,79.22021816
83,86.30177517
25,25.26971886
34,36.33294447
26,27.65574228
90,94.79690531
60,58.67366671
49,56.15934471
19,18.40919388
92,86.26936988
29,26.59436195
8,8.452520159
57,56.18131518
29,27.65452669
19,20.87391785
81,77.83354439
50,50.01787825
15,9.290856256
70,75.0284725
39,38.3037698
43,44.70786405
21,22.51016575
98,102.4959452
86,86.76845244
16,13.89748578
25,24.81824269
31,33.94224862
93,92.26970059
67,68.73365081
49,47.38516883
25,32.37576914
88,87.67388681
54,54.57648371
21,18.06450222
8,7.896539841
32,35.00341078
35,36.72823317
67,65.84975426
90,89.59295492
59,61.69026202
15,11.60499315
67,71.0826803
42,43.71901164
44,41.57421008
77,74.25552425
68,66.28310437
36,36.62438077
11,10.32374866
10,7.156457657
65,67.88603132
98,101.1097591
98,98.6132033
49,50.19083844
31,27.83896261
56,55.9249564
70,76.47340872
91,92.05756378
25,27.35245439
54,55.32083476
39,41.39990349
91,93.59057024
3,5.297054029
22,21.01429422
2,2.267059451
2,-0.121860502
65,66.49546208
71,73.83637687
42,42.10140878
76,77.35135732
43,41.02251779
8,14.75305272
86,83.28199022
87,89.93374342
3,2.286571686
58,55.61421297
62,62.15313408
89,89.55803528
95,94.00291863
28,26.78023848
0,-0.764537626
1,0.282866003
49,44.26800515
21,19.85174138
46,47.15960005
11,8.359366572
89,92.08157084
37,41.88734051
29,30.5413129
44,46.87654473
96,96.35659485
16,17.9170699
74,71.67949917
35,32.64997554
42,39.34482965
16,17.03401999
56,52.87524074
18,15.85414849
100,108.8716183
54,49.30477253
92,89.4749477
63,63.67348242
81,83.78410946
73,73.51136922
48,46.80297244
1,5.809946802
85,85.23027975
14,10.58213964
25,21.37698317
45,46.0537745
98,95.2389253
97,94.15149206
58,54.54868046
93,87.36260449
88,88.47741598
89,84.48045678
47,48.79647071
6,10.76675683
34,30.48882921
30,29.76846185
16,13.51574749
86,86.12955884
40,43.30022747
52,51.92110232
15,16.49185287
4,7.998073432
95,97.66689567
99,89.80545367
35,38.07166567
58,60.27852322
10,6.709195759
16,18.35488924
53,56.37058203
58,62.80064204
42,41.25155632
24,19.42637541
84,82.88935804
64,63.61364981
12,11.29627199
61,60.02274882
75,72.60339326
15,11.87964573
100,100.7012737
43,45.12420809
13,14.81106804
48,48.09368034
45,42.29145672
52,52.73389794
34,36.72396986
30,28.64535198
65,62.16675273
100,95.58459518
67,66.04325304
99,99.9566225
45,46.14941984
87,89.13754963
73,69.71787806
9,12.31736648
81,78.20296268
72,71.30995371
81,81.45544709
58,58.59500642
93,94.62509374
82,88.60376995
66,63.64868529
97,94.9752655
77,79.77515
21,23.17728
22,25.60926
20,17.85739
36,41.84986
15,9.805235
62,58.87466
95,97.61794
20,18.39513
5,8.746748
4,2.811416
19,17.09537
96,95.14907
62,61.38801
36,40.24702
15,14.82249
65,66.95807
14,16.63508
87,90.65514
69,77.22983
89,92.11906
51,46.91388
89,89.82634
27,21.7138
97,97.41207
58,57.01631
79,78.31057
21,19.13151
93,93.03483
27,26.59112
99,97.55155
31,31.43525
33,35.12725
80,78.61042
28,33.07113
47,51.69967
53,53.62235
69,69.46306
28,27.42497
33,36.34644
91,95.06141
71,68.16725
50,50.96156
76,78.04237
4,5.607665
37,36.11335
70,67.23522
68,65.01324
40,38.14754
35,34.31141
94,95.28504
88,87.8475
52,54.08171
31,31.93064
59,59.61247
0,-1.04011
39,47.49375
64,62.6009
69,70.91464
57,56.14834
13,14.05573
72,68.11367
76,75.59701
61,59.22575
82,85.45504
18,17.76197
41,38.68889
50,50.96344
55,51.83504
13,17.07611
46,46.56142
13,10.34754
79,77.91033
53,50.17009
15,13.25691
28,31.32275
81,73.93088
69,74.45114
52,52.01932
84,83.6882
68,70.36987
27,23.44479
56,49.83052
48,49.88227
40,41.04526
39,33.37834
82,81.2975
100,105.5918
59,56.82457
43,48.67253
67,67.02151
38,38.43076
63,58.61467
91,89.12378
60,60.91054
14,13.8396
21,16.89085
87,84.06677
73,70.3497
32,33.38474
2,-1.63297
82,88.54476
19,17.44048
74,75.69299
42,41.97607
12,12.59245
1,0.275307
90,98.13258
89,87.45722
0,-2.34474
41,39.32942
16,16.68715
94,96.58889
97,97.70342
66,67.01716
24,25.63476
17,13.41311
90,95.15647
13,9.744164
0,-3.46788
64,62.82816
96,97.27405
98,95.58017
12,7.468502
41,45.446
47,46.69014
78,74.49936
20,21.63501
89,91.59549
29,26.49488
64,67.38655
75,74.25363
12,12.07992
25,21.32274
28,29.3177
30,26.48714
65,68.947
59,59.10599
64,64.37521
53,60.20758
71,70.3433
97,97.10826
73,75.75842
9,10.80463
12,12.1122
63,63.28312
99,98.03018
60,63.19354
35,34.85348
2,-2.81991
60,59.8314
32,29.38505
94,97.00148
84,85.18657
63,61.74063
22,18.84798
81,78.79009
93,95.124
33,30.48881
7,10.41468
42,38.98317
46,46.11021
54,52.45104
16,21.16524
49,52.28621
43,44.18864
95,97.13832
66,67.22008
21,18.98322
35,24.38846
80,79.4477
37,40.03505
54,53.32006
56,54.55447
1,-2.76118
32,37.80183
58,57.48741
32,36.06293
46,49.83538
72,74.68953
17,14.86159
97,101.0698
93,99.43578
91,91.69241
37,34.12473
4,6.07939
54,59.07247
51,56.43046
27,30.49413
46,48.35173
92,89.73154
73,72.86283
77,80.97144
91,91.36566
61,60.07137
99,99.87383
4,8.655714
72,69.39859
19,19.3878
57,53.11628
78,78.39683
26,25.75613
74,75.07485
90,92.88772
66,69.45498
13,13.1211
40,48.09843
77,79.31425
67,68.48821
75,73.23008
23,24.68363
45,41.90369
59,62.22636
44,45.96397
23,23.52647
55,51.80036
55,51.10774
95,95.79747
12,9.241139
4,7.64653
7,9.2817
100,103.5266
48,47.41007
42,42.03836
96,96.11982
39,38.05766
100,105.4504
87,88.80307
14,15.49301
14,12.42625
37,40.0071
5,5.634031
88,87.36939
91,89.73952
65,66.615
74,72.91389
56,57.19104
16,11.2171
5,0.676077
28,28.15669
92,95.3958
46,52.05491
54,59.70865
39,36.79225
44,37.08458
31,24.18438
68,67.28725
86,82.87059
90,89.89999
38,36.94173
21,19.87562
95,90.71482
56,61.09368
60,60.11135
65,64.83296
78,81.40382
89,92.40218
6,2.576625
67,63.80768
36,38.67781
16,16.8284
100,99.78687
45,44.68913
73,71.00378
57,51.57327
20,19.87846
76,79.50341
34,34.58876
55,55.73835
72,68.19722
55,55.81629
8,9.391417
56,56.01448
72,77.99695
58,55.3705
6,11.89458
96,94.79082
23,25.69042
58,53.52042
23,18.31397
19,21.42638
25,30.41303
64,67.68142
21,17.08548
59,60.91793
19,14.99514
16,16.74924
42,41.46924
43,42.84526
61,59.12913
92,91.30864
11,8.673336
41,39.31485
1,5.313686
8,5.405221
71,68.54589
46,47.33488
55,54.09064
62,63.29717
47,52.45947
